address,balance,tx_count,updatedAt,balanceUSD
1143t96LASL6q6UMAJKQKd5BLkeV6Q19ys,300000000,1,2021-09-22T20:55:21.040Z,1251.5310060000002
113DQh713pR9rsEWTgae9DGfVzY5f17Sbj,200000000,1,2021-09-22T20:55:21.117Z,1220.871948
11382a48qWatCiSqVNBFzuKN91M7Dcdev,50000000,1,2021-09-22T20:55:21.434Z,205.222
1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,100000000,1,2021-09-22T20:55:21.981Z,452.727997
114DARz595UwHRrWjR2mufuUCBifgHTHEw,50000000,1,2021-09-22T20:55:22.140Z,218.5820005
115znkek4VL6yyBrC6nTu1td4D9n4kbgnk,1006531,1,2021-09-22T20:55:22.297Z,4.19552303645097
112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,50000000,1,2021-09-22T20:55:22.536Z,212.0149995
112wjYgWapZU8gTPR7hLoKq8iEh496vKxP,550000000,1,2021-09-22T20:55:22.700Z,3331.3114615
112igisnkkrR2rPgujxhBkTELajuNYxq8Z,1000975,1,2021-09-22T20:55:22.943Z,6.7352005641365
11445ybEvoBuFCnaYGni4KQDgKRZ3huiJX,50000000,1,2021-09-22T20:55:23.022Z,206.9859925
114BqWjEYTXuVzFAEc4qdz72j3muFPMSfH,100020000,2,2021-09-22T20:55:23.260Z,422.4574605972
115j3623Lx42gyC1h9EygmcqH6m6bgDiKy,150000000,1,2021-09-22T20:55:23.494Z,662.0835119999999
1169bxadw4JaEe34sNhcDz38AugtLGp965,250000000,1,2021-09-22T20:55:51.990Z,1480.2575675
114T9gEoJ7G9LGoAL9wDT1nBGGQm3hiSJy,410000000,1,2021-09-22T20:55:23.881Z,1831.5601385
114ngXYgYz3gLAaumxKUZM42KR4HzsDdjn,300000000,1,2021-09-22T20:55:24.170Z,1272.692964
115ia9StrwWqT6xJ9Sd92hm6rA4EBPsE3W,50000000,1,2021-09-22T20:55:24.331Z,208.4149935
114TqRY9x6byYf5HZcBdoDfHUZX68tdgTG,510000000,1,2021-09-22T20:55:25.204Z,2320.9946234999998
11697Zq8pAWXEXAbh2zvPTfVt6Vn7DAMzw,150000000,1,2021-09-22T20:55:25.603Z,682.6454775
1131P1hjj7h9NinHRCkNwGFifK4gGoe5EF,500000000,1,2021-09-22T20:55:25.688Z,2122.72003
1136MFiqBmoVWpqWr1okF3D5XMabwVLB5z,101000000,1,2021-09-22T20:55:26.014Z,432.87691303
113QcTeGajE3YMKU1JD7QMRgkuKFFsHkiG,50057953,1,2021-09-22T20:55:26.092Z,219.6532986072581
1129TSjKtx65E35GiUo4AYVeyo48twbrGX,200000000,1,2021-09-22T20:55:26.801Z,1155.521972
112GocBgFSnaote6krx828qaockFraD8mp,50000000,1,2021-09-22T20:55:27.325Z,211.994507
1154LSM4xWaAY8shZj7jdmP4coWKD16S5f,410000000,1,2021-09-22T20:55:28.178Z,1707.2154491999997
1156mWEnJ8gK9kn2UdpPUcavyqC39mZxPw,300000000,1,2021-09-22T20:55:28.524Z,1343.9280390000001
113y9h8ch6wASL3DE4WDysDVxXa4LsNkH3,400000000,1,2021-09-22T20:55:28.606Z,1666.063964
112bgquxJZDPuQiXG8tsS7B8ER6rEetrAw,50000000,2,2021-09-22T20:55:28.769Z,215.194197392
115vefbFY2PCL4cYAoCcCB4TcjUGnrgLKw,100000000,1,2021-09-22T20:55:29.011Z,437.747986
127M2VSzFNghk8sZs33vDcTZT5cxndenqS,50000000,1,2021-09-22T20:55:47.545Z,206.6535035
125YGMHAvJ9EQZhwJTaENhQcaeuqgbHK8J,400000000,1,2021-09-22T20:55:47.800Z,2564.288084
128mpaTzac6LueCWJbFABubxho8bppMCCh,150000000,1,2021-09-22T20:55:47.879Z,689.4044955
1263vfRQB4z86JdLQZA7DEmRgxNsvRNuzm,300000000,1,2021-09-22T20:55:47.957Z,1837.532958
122w6H5sV2h9dyAwk4rcedF4piGnzmbFFN,200000000,1,2021-09-22T20:55:48.272Z,1308.936036
12aG56SE7MiPEzNZGsrGj7uBwWHhRhqFrj,300000000,1,2021-09-22T20:55:48.426Z,1250.489961
122xQbcFm6jfrtwfGHdxCdGrmwvUuNXJft,200000000,1,2021-09-22T20:55:49.075Z,833.031982
12AG1UgkMsrt5gzdAtadtQfEpjqQV5AQyM,100000000,1,2021-09-22T20:55:49.243Z,422.372986
128KyTpc8uFJjH3TkqqWjHf4EtqLBqj1Kf,410000000,1,2021-09-22T20:55:49.968Z,1713.5745286999997
12524A8PP7PFcDXa9BpGHqhPuVcciCvCn8,50000000,1,2021-09-22T20:55:50.284Z,212.272003
127ZmcfEjQPN3VF7YiRXznRuSP9XFLRTvx,400000000,1,2021-09-22T20:55:51.013Z,2436.90796
1231w7pJYCa9W9qBSJYNBp6QrTaCSV6YuD,400000000,1,2021-09-22T20:55:51.088Z,2426.360108
129UJgwpPveL6GUHEdHnKNmGACkuMDZfpx,300000000,1,2021-09-22T20:55:51.170Z,1824.936036
125AoxRRMZz5GpASK5sCChATKfNvbSzBF5,100000000,1,2021-09-22T20:55:51.349Z,416.394012
127gTQMvKxn5r6EhmigwXy27R1rBGtJ2Vq,50000000,1,2021-09-22T20:55:51.563Z,291.707489
124jbjnjjy8t42BDmaBd8kx6fJc2CTfdeE,200000000,1,2021-09-22T20:55:51.641Z,900.607972
127TntHYgrASVmoRNnbr1KRBGyMdjA7nxP,100000000,1,2021-09-22T20:55:51.718Z,417.177002
127y4JUM7GDWsRB8FnF6SFKPEYBcwiNC48,200000000,1,2021-09-22T20:55:52.070Z,1151.073974
121QX41wBNYsmSFEGQ4qnRpNPSai3sUSMZ,250000000,1,2021-09-22T20:55:52.150Z,1532.55249
11UC4DMzTR1qQnNEHs9XpotWYAmzs6nBM,50000000,1,2021-09-22T20:55:52.409Z,216.076004
123VWsgKcx1cjn5KBepCV26hFXu7TcWfSY,50000000,1,2021-09-22T20:55:52.653Z,210.310501
12aJv7J7Y1cHekzXeAEfu8cbtQFeKt7Mk8,100000000,1,2021-09-22T20:55:52.731Z,417.945007
121D2DAFrRGLHoeZDaAT1rjEYj69EknvsT,50000000,1,2021-09-22T20:55:52.809Z,212.4774935
127g7s8yzdHJx75f2Hnb84CRqLR6ykJBAx,150000000,1,2021-09-22T20:55:53.193Z,668.6055
11MvtJdLMh55y3RnS7iPaCra7JS6vZsEF,300000000,1,2021-09-22T20:55:53.798Z,1272.089997
129qSWnnJgaKjqgphitXZJM4us7DghuKEQ,400000000,1,2021-09-22T20:55:53.952Z,2427.892088
127MgKCjtPfBpcjJXQpjmthMmeMsHwC1BQ,100000000,1,2021-09-22T20:55:54.108Z,417.959991
