Cluster ID,Address,Cluster Size
1,12WMZBt1boPV5sMKknDeYSe8EximnGuV41,30
1,12nkRSvz5g77z5tnHrjNmkmgmqG8Gdv1x6,30
1,15H9WE7ADd1mZjYPGjAj1jdFjJwt7qFt6F,30
1,16Akt4JeRRKySzKDBRJEEweBJ8JRpUp5dE,30
1,16iTUac8jkf4LPud1SZBGJiyKWcoFNPA6T,30
1,178HGmCfR26dSSiFxJQah1U588p2CjgX7f,30
1,17iuC3ca7RKnCuh7HJ1zUXfg4SsLU2suCr,30
1,18B5hQ2DuxGzTCxNaXL2J3AsWX3FPPeMup,30
1,18zV1WGWCbqb632n4dPXWjUJTHymxFc15Z,30
1,1A4dMpfqgTTNSWUKier3t9aMajHr57yc7W,30
1,1Ba6mozmB7beR6GoFgWFWfK9FeQdSN8gVi,30
1,1BogoPcqRv8vvefr2P4zK81nBxw5urw5Zp,30
1,1DiMM75HqhsJDfnLGyRJMfNMDPvgkZ4t6p,30
1,1DjshGrDYVo87Ja4DxpfCof3FpUZsDQpZM,30
1,1DrGzqusugQZkA8RuB1556v11jo6TcwLum,30
1,1EbUEdu6p6o68Qd6CeFBSZ94woifR7R7eT,30
1,1FRDJam9RYgn8W6zdQK3Ge7zrWwmf4vvsB,30
1,1GdyEzVchXj4EKr1FMbu9mKpsAN64NvksY,30
1,1HcViPc1eTSVN4d8QWDCQXU3hG51dfUGXs,30
1,1Jb7zNP86WHNhJTFdWsX9mKu3akN691cgU,30
1,1KhYxWq9r9EVkiLnLqd1wPACi6xeCaNf8C,30
1,1LegLVX1MM4UPoP4qxkrtcwnFpJk4pHYBH,30
1,1NAVhUixJ2HjRJXk8j96tA7kp3u6oRi9Zb,30
1,1NzED3mXPyAk4VwXZHxrVp9aGE2Tcgq7hQ,30
1,1PWxRF5EpAuP88Dpu6fYPfv5rmaYPqpB7i,30
1,1QBGqWgFRrFLvzxx3kojQYUczuEbUne6Xd,30
1,1R9gMbvM2FnRmG1U9HJT1dupdK32kdfyd,30
1,1TvGxNJSk7rRZf7p1bb7hHs2ZDiJLiHLG,30
1,1dzRo5aJ9n5Et6iGNkdyu4w1gguDp7cXm,30
1,1px2pnCAfc1si5Zs8Dj5y5wqQ7otiNcyL,30
2,33BJxctd6xKj39BHPztyESuexRSKyesY7X,3
2,33Ypk7PMwf7pJzTQ4wzgaN27MwHDqMWSpC,3
2,37iBN9HDzzU2xcoq8ajLjFostAuDzLY2Ec,3
